citation_key,n_compounds_contributed,citation
Bowes2012,10,"Bowes J. et al. (2012). Reducing safety-related drug attrition: the use of in vitro pharmacological profiling. Nature Reviews Drug Discovery 11(12), 909–922."
Kang2001,6,Kang J. et al. (2001). Interactions of a series of fluoroquinolone antibacterials with the human cardiac K+ channel hERG.
Kongsamut2002,6,Kongsamut S. et al. (2002). A comparison of the receptor binding and hERG channel affinities for a series of antipsychotic drugs.
Kramer2013,5,"Kramer J. et al. (2013). MICE models: superior to the HERG model in predicting Torsade de Pointes. Scientific Reports 3, 2100."
Katchman2002,4,Katchman A. N. et al. (2002). Influence of opioid agonists on cardiac human ether-à-go-go-related gene K+ currents.
Rampe1997,2,Rampe D. et al. (1997). Effects of the antimalarial / antipsychotic / 5-HT4 agonist agents on hERG block (cisapride / chlorpromazine class).
Zhang1999,2,Zhang S. et al. (1999). Mechanism of block of the hERG potassium channel by dihydropyridines (verapamil-class CCB study).
Carlsson2005,1,Carlsson L. et al. (2005). Proarrhythmic profile of mosapride.
ChavesGonzalez2013,1,Chaves-González et al. (2013). Paliperidone hERG screen.
Drolet1999,1,Drolet B. et al. (1999). Droperidol lengthens cardiac repolarisation.
Guo2005,1,Guo D. et al. (2005). Prochlorperazine and hERG block.
Kang2000,1,Kang J. et al. (2000). Pimozide hERG inhibition.
Katchman2006,1,Katchman A. N. et al. (2006). Buprenorphine and methadone effects on cardiac repolarisation.
Kiesecker2004,1,Kiesecker C. et al. (2004). Amiodarone interaction with hERG.
Mendzelevski2012,1,Mendzelevski B. et al. (2012). Prucalopride and ECG safety.
Numaguchi2000,1,Numaguchi H. et al. (2000). hERG block by class III antiarrhythmics (sotalol).
Paul2002,1,Paul A. A. et al. (2002). Flecainide and hERG.
Rajamani2008,1,Rajamani S. et al. (2008). Ranolazine and multiple cardiac ion channels.
Rampe1998,1,Rampe D. et al. (1998). A mechanism for the proarrhythmic effects of sertindole.
Scherer2002,1,Scherer C. R. et al. (2002). Fexofenadine vs terfenadine on hERG.
Suessbrich1997,1,Suessbrich H. et al. (1997). Haloperidol and hERG.
Taglialatela1998,1,Taglialatela M. et al. (1998). Loratadine on hERG.
Taglialatela2000,1,Taglialatela M. et al. (2000). Second-generation antihistamines on hERG (cetirizine).
Teschemacher1999,1,Teschemacher A. G. et al. (1999). Antidepressants and hERG (imipramine).
Yang1995,1,Yang T. et al. (1995). Ibutilide and the human cardiac IKr current.
