head_id,head,split,threshold,n,n_positives,n_negatives,prevalence,TP,FP,TN,FN,sensitivity,specificity,precision,npv,accuracy,mcc,auc
herg_blocker_10um,hERG 10 µM,tan70,0.5,46120,937,45183,0.0203166,600,1070,44113,337,0.640342,0.976319,0.359281,0.992418,0.969493,0.465703,0.916929
herg_blocker_1um,hERG 1 µM,tan70,0.5,46042,206,45836,0.00447418,116,326,45510,90,0.563107,0.992888,0.262443,0.998026,0.990965,0.380552,0.958738
nav15_blocker,Nav1.5 10 µM,tan70,0.5,218,61,157,0.279817,43,35,122,18,0.704918,0.77707,0.551282,0.871429,0.756881,0.451377,0.830636
cav12_blocker,Cav1.2 10 µM,tan70,0.5,160,44,116,0.275,31,22,94,13,0.704545,0.810345,0.584906,0.878505,0.78125,0.488473,0.841105
iks_blocker,IKs 10 µM,tan70,0.5,14,1,13,0.0714286,0,1,12,1,0,0.923077,0,0.923077,0.857143,-0.0769231,0.384615
herg_blocker_10um,hERG 10 µM,tan60,0.5,13831,434,13397,0.0313788,292,827,12570,142,0.672811,0.93827,0.260947,0.988829,0.92994,0.390684,0.898338
herg_blocker_1um,hERG 1 µM,tan60,0.5,13767,99,13668,0.00719111,55,250,13418,44,0.555556,0.981709,0.180328,0.996732,0.978645,0.308428,0.932202
nav15_blocker,Nav1.5 10 µM,tan60,0.5,86,23,63,0.267442,15,11,52,8,0.652174,0.825397,0.576923,0.866667,0.77907,0.460267,0.792271
cav12_blocker,Cav1.2 10 µM,tan60,0.5,59,12,47,0.20339,3,7,40,9,0.25,0.851064,0.3,0.816327,0.728814,0.108427,0.765957
iks_blocker,IKs 10 µM,tan60,0.5,11,1,10,0.0909091,0,0,10,1,0,1,,0.909091,0.909091,0,0.5
